row_id;duration_in_month;purpose;present_emp_since;installment_as_income_perc;personal_status_sex;property;age;housing;credits_this_bank;job;people_under_maintenance;norm_age;migration_risk;real_state;score_default_dummy;Partición;score_default_logistic;$LP-score_default_dummy;score_default_TAN;$BP-score_default_dummy;score_default_markow;$BP1-score_default_dummy;punishment_value;client_price
320;30;1;1;0,04;0;2;28;2;2;0;1;3,33220451;0,016438356;0;0;1_Entrenamiento;1;0,547977777;0;0,530977351;0;0,64028777;0,053097735;89486,15224
211;36;1;3;0,02;0;4;45;2;1;1;1;3,80666249;0,016438356;1;1;1_Entrenamiento;1;0,83336096;1;0,829771504;1;0,875;0,08297715;91954,80656
23;12;1;1;0,03;1;3;44;2;1;0;1;3,784189634;0,008219178;1;0;1_Entrenamiento;0;0,710802977;0;0,817637593;0;0,8;0,081763759;91854,5555
439;12;0;1;0,04;0;4;26;2;1;1;1;3,258096538;0,032876712;1;0;2_Comprobación;0;0,887990919;0;0,905565915;0;0,822033898;0,090556591;92581,02431
237;21;0;3;0,04;1;2;61;3;2;1;1;4,110873864;0,016438356;0;0;1_Entrenamiento;0;0,568016949;0;0,744018736;0;0,64028777;0,074401874;91246,3123
549;48;1;3;0,02;1;1;35;1;2;0;1;3,555348061;0,065753425;0;1;1_Entrenamiento;1;0,988563391;1;1;1;1;0,1;93361,2441
287;48;1;1;0,02;1;1;31;1;1;0;1;3,433987204;0,016438356;0;1;1_Entrenamiento;1;0,986210175;1;1;1;1;0,1;93361,2441
714;60;1;3;0,04;1;1;27;2;1;0;1;3,295836866;0,032876712;0;1;1_Entrenamiento;1;0,98841648;1;1;1;1;0,1;93361,2441
799;9;1;1;0,04;1;4;35;2;1;1;1;3,555348061;0,016438356;1;0;1_Entrenamiento;0;0,878088964;0;0,832182936;0;0,822033898;0,083218294;91974,72995
888;36;1;3;0,04;1;2;34;2;2;0;1;3,526360525;0,016438356;0;1;1_Entrenamiento;1;0,788472693;1;0,856702749;1;0,805555556;0,085670275;92177,31405
795;9;0;1;0,02;0;3;22;3;1;0;1;3,091042453;0,008219178;1;0;1_Entrenamiento;0;0,753076058;0;0,857253331;0;0,610169492;0,085725333;92181,86298
982;21;1;2;0,01;0;2;28;2;1;0;1;3,33220451;0,065753425;0;0;1_Entrenamiento;1;0,764231847;1;0,712473057;1;0,636363636;0,071247306;90985,6801
887;48;0;2;0,02;1;2;23;2;1;0;1;3,135494216;0,032876712;0;1;2_Comprobación;1;0,978887643;1;1;1;1;0,1;93361,2441
548;12;1;2;0,04;0;4;24;2;1;1;1;3,17805383;0,008219178;1;0;1_Entrenamiento;0;0,897074079;0;0,925438204;0;0,822033898;0,09254382;92745,2103
10;12;1;1;0,03;0;2;25;3;1;0;1;3,218875825;0,032876712;0;0;2_Comprobación;0;0,747736017;0;0,765638899;0;0,8;0,07656389;91424,93933
824;18;0;1;0,03;1;2;35;2;2;0;1;3,555348061;0,032876712;0;0;2_Comprobación;1;0,509165567;1;0,737133079;1;0,666666667;0,073713308;91189,42261
362;12;1;2;0,02;0;2;36;2;2;0;1;3,583518938;0,032876712;0;0;1_Entrenamiento;0;0,622580536;0;0,561087778;0;0,610169492;0,056108778;89734,9263
882;30;1;3;0,04;1;4;36;2;2;0;1;3,583518938;0,008219178;1;1;1_Entrenamiento;1;0,556319125;0;0,775480548;0;0,64028777;0,077548055;91506,25159
941;10;1;2;0,03;1;4;31;2;1;1;2;3,433987204;0;1;0;1_Entrenamiento;0;0,793218386;0;0,873120843;0;0,8;0,087312084;92312,96127
47;6;1;1;0,01;0;3;23;3;1;1;1;3,135494216;0,032876712;1;0;1_Entrenamiento;0;0,676614249;0;0,566975178;1;0,5;0,056697518;89783,56834
806;6;1;1;0,03;0;4;26;2;1;1;1;3,258096538;0;1;0;1_Entrenamiento;0;0,904945132;0;0,914881094;0;0,8;0,091488109;92657,98684
24;10;0;2;0,02;0;2;26;2;2;0;1;3,258096538;0;0;1;2_Comprobación;0;0,698697089;0;0,664841381;0;0,610169492;0,066484138;90592,14448
371;18;1;3;0,03;1;2;33;2;2;0;1;3,496507561;0,016438356;0;1;1_Entrenamiento;0;0,506624245;1;0,793064143;1;0,666666667;0,079306414;91651,52825
775;24;1;2;0,04;0;4;25;3;1;0;1;3,218875825;0,008219178;1;0;1_Entrenamiento;0;0,710333381;0;0,843621769;0;0,64028777;0,084362177;92069,23824
240;24;1;3;0,04;0;2;29;2;1;0;1;3,36729583;0,016438356;0;0;1_Entrenamiento;0;0,610701854;0;0,530977351;0;0,64028777;0,053097735;89486,15224
83;24;1;3;0,04;0;4;58;2;1;1;1;4,060443011;0,016438356;1;0;1_Entrenamiento;0;0,700150144;0;0,773130239;0;0,64028777;0,077313024;91486,8332
900;16;1;3;0,02;1;3;43;3;1;0;1;3,761200116;0,016438356;1;0;2_Comprobación;1;0,536650312;1;0,547255476;0;0,610169492;0,054725548;89620,64304
258;15;1;1;0,01;0;2;23;2;1;0;1;3,135494216;0,016438356;0;0;2_Comprobación;1;0,585103777;1;0,625936063;1;0,5;0,062593606;90270,70653
504;24;1;1;0,04;0;3;24;3;1;0;1;3,17805383;0,008219178;1;0;1_Entrenamiento;0;0,663802342;0;0,886332364;0;0,64028777;0,088633236;92422,11562
207;12;1;3;0,04;1;3;26;2;1;0;1;3,258096538;0,010958904;1;0;1_Entrenamiento;0;0,813788552;0;0,838121554;0;0,822033898;0,083812155;92023,79515
999;45;1;1;0,03;1;2;27;2;1;0;1;3,295836866;0,008219178;0;1;1_Entrenamiento;1;0,944505075;1;0,615728439;1;0,8;0,061572844;90186,37056
88;18;1;3;0,04;1;2;30;2;1;0;2;3,401197382;0,021917808;0;0;1_Entrenamiento;0;0,643709626;1;0,518425324;0;0,64028777;0,051842532;89382,44667
750;6;0;3;0,02;0;3;49;2;1;0;1;3,891820298;0,065753425;1;0;1_Entrenamiento;0;0,771251626;0;0,758716562;0;0,610169492;0,075871656;91367,74658
197;12;0;1;0,04;0;2;27;3;4;0;1;3,295836866;0,008219178;0;0;1_Entrenamiento;0;0,854131468;0;0,854097703;0;0,822033898;0,08540977;92155,79101
64;24;1;1;0,04;0;3;26;2;1;0;1;3,258096538;0,016438356;1;1;2_Comprobación;0;0,656718064;0;0,786183482;0;0,64028777;0,078618348;91594,67984
253;24;0;2;0,02;1;3;35;2;2;0;1;3,555348061;0,010958904;1;1;2_Comprobación;1;0,727669796;1;0,661413398;1;0,714285714;0,06614134;90563,8223
445;9;1;3;0,04;0;3;41;3;2;1;1;3,713572067;0,008219178;1;1;1_Entrenamiento;0;0,906344281;0;0,886722361;0;0,822033898;0,088672236;92425,33779
21;6;1;2;0,02;1;4;44;3;1;0;2;3,784189634;0,010958904;1;0;1_Entrenamiento;0;0,761729846;0;0,726784513;0;0,610169492;0,072678451;91103,92217
680;6;1;1;0,01;0;1;56;2;1;0;1;4,025351691;0,016438356;0;0;2_Comprobación;0;0,530921557;1;0,75915497;1;0,5;0,075915497;91371,36873
147;12;1;3;0,04;0;2;51;2;2;0;1;3,931825633;0,021917808;0;0;1_Entrenamiento;0;0,847450327;0;0,734069175;0;0,822033898;0,073406918;91164,10847
110;6;0;3;0,01;1;2;31;2;2;0;2;3,433987204;0,016438356;0;0;1_Entrenamiento;0;0,534922008;1;0,670980815;1;0,5;0,067098081;90642,86884
934;12;1;2;0,04;0;2;23;2;1;0;1;3,135494216;0,032876712;0;0;1_Entrenamiento;0;0,841926422;0;0,790466846;0;0,822033898;0,079046685;91630,06924
845;21;0;3;0,02;1;2;35;2;1;0;1;3,555348061;0,021917808;0;1;2_Comprobación;1;0,711359907;1;0,827303912;1;0,714285714;0,082730391;91934,41917
554;9;1;3;0,04;0;3;67;2;2;0;1;4,204692619;0,016438356;1;0;1_Entrenamiento;0;0,905134173;0;0,8931267;0;0,822033898;0,08931267;92478,25081
992;18;1;3;0,02;0;2;23;3;2;1;1;3,135494216;0,008219178;0;0;1_Entrenamiento;1;0,516222299;0;0,560555315;1;0,714285714;0,056055531;89730,52706
308;8;0;2;0,03;0;4;24;2;1;0;1;3,17805383;0,008219178;1;0;2_Comprobación;0;0,883396037;0;0,913926214;0;0,8;0,091392621;92650,09757
764;24;1;3;0,04;0;3;27;2;2;0;1;3,295836866;0,021917808;1;0;1_Entrenamiento;0;0,651955906;0;0,786183482;0;0,64028777;0,078618348;91594,67984
150;6;1;3;0,02;1;1;42;1;1;0;2;3,737669618;0,016438356;0;0;2_Comprobación;0;0,557106941;1;0,640369312;0;0,610169492;0,064036931;90389,95485
647;12;1;2;0,02;0;3;26;2;1;0;1;3,258096538;0,016438356;1;0;2_Comprobación;0;0,681813838;0;0,7390276;0;0,610169492;0,07390276;91205,07526
321;24;1;1;0,04;1;3;32;2;1;0;1;3,465735903;0,010958904;1;0;1_Entrenamiento;0;0,547180262;0;0,694937436;0;0,64028777;0,069493744;90840,79981
431;24;1;2;0,02;1;2;29;2;2;0;1;3,36729583;0,021917808;0;1;1_Entrenamiento;1;0,772658052;1;0,827303912;1;0,714285714;0,082730391;91934,41917
233;18;1;2;0,04;0;4;25;2;1;1;1;3,218875825;0,016438356;1;0;2_Comprobación;0;0,816195273;0;0,773130239;0;0,64028777;0,077313024;91486,8332
605;24;0;2;0,04;1;4;22;2;1;0;1;3,091042453;0,016438356;1;0;1_Entrenamiento;0;0,59506589;0;0,61958313;0;0,64028777;0,061958313;90218,21824
35;45;1;1;0,04;1;3;25;2;2;1;1;3,218875825;0,016438356;1;1;1_Entrenamiento;1;0,890792604;1;1;1;1;0,1;93361,2441
578;36;1;1;0,04;1;2;27;2;2;0;1;3,295836866;0,008219178;0;1;1_Entrenamiento;1;0,783157275;1;0,738160298;1;0,805555556;0,07381603;91197,90956
511;36;1;2;0,02;1;1;32;1;1;0;1;3,465735903;0,032876712;0;1;2_Comprobación;1;0,954677495;1;0,909922359;1;0,875;0,090992236;92617,0175
562;6;1;1;0,02;0;3;29;2;1;0;1;3,36729583;0,032876712;1;0;1_Entrenamiento;0;0,792772964;0;0,794667847;0;0,610169492;0,079466785;91664,77815
324;18;1;2;0,04;0;4;36;2;2;0;1;3,583518938;0,010958904;1;0;1_Entrenamiento;0;0,821895533;0;0,843621769;0;0,64028777;0,084362177;92069,23824
60;9;0;2;0,02;0;4;27;2;1;0;1;3,295836866;0,065753425;1;0;1_Entrenamiento;0;0,752264673;0;0,68509128;0;0,610169492;0,068509128;90759,4503
834;15;1;1;0,02;0;4;25;2;1;1;1;3,218875825;0,010958904;1;1;2_Comprobación;0;0,659507855;0;0,807908236;0;0,610169492;0,080790824;91774,171
553;12;1;1;0,04;1;2;27;2;1;0;1;3,295836866;0,032876712;0;0;2_Comprobación;0;0,76712689;0;0,755827594;0;0,822033898;0,075582759;91343,87777
486;12;1;2;0,02;1;2;52;2;1;0;1;3,951243719;0,016438356;0;1;1_Entrenamiento;0;0,520789803;1;0,565766677;0;0,610169492;0,056576668;89773,58363
81;15;1;3;0,04;1;3;47;2;1;0;1;3,850147602;0,021917808;1;0;2_Comprobación;0;0,752375938;0;0,709421498;0;0,822033898;0,07094215;90960,46795
587;12;0;2;0,04;1;3;21;2;1;1;1;3,044522438;0,032876712;1;0;1_Entrenamiento;0;0,797894975;0;0,638578711;0;0,822033898;0,063857871;90375,16081
523;24;1;3;0,03;0;2;23;2;1;0;1;3,135494216;0,008219178;0;1;1_Entrenamiento;1;0,526029517;1;0,597233433;1;0,666666667;0,059723343;90033,56377
210;9;1;2;0,01;1;4;33;2;2;0;2;3,496507561;0,016438356;1;1;1_Entrenamiento;0;0,558158157;1;0,555124231;1;0,5;0,055512423;89685,65514
58;18;1;3;0,03;0;2;23;2;1;0;1;3,135494216;0,016438356;0;1;1_Entrenamiento;0;0,624096382;1;0,758723207;1;0,666666667;0,075872321;91367,80148
759;12;1;3;0,04;1;3;35;2;2;0;1;3,555348061;0,010958904;1;0;1_Entrenamiento;0;0,813788552;0;0,838121554;0;0,822033898;0,083812155;92023,79515
336;13;1;1;0,02;0;3;23;2;1;1;1;3,135494216;0,008219178;1;1;2_Comprobación;0;0,661316462;0;0,726219638;0;0,610169492;0,072621964;91099,25515
177;6;1;3;0,04;1;2;52;2;2;0;1;3,951243719;0,008219178;0;0;1_Entrenamiento;0;0,873213182;0;0,827684565;0;0,822033898;0,082768457;91937,56416
684;36;0;3;0,01;1;3;31;2;2;1;2;3,433987204;0,021917808;1;1;1_Entrenamiento;1;0,948531352;1;0,850053539;1;0,6;0,085005354;92122,37789
922;9;1;1;0,03;0;3;22;3;1;0;1;3,091042453;0,008219178;1;0;1_Entrenamiento;0;0,845684087;0;0,938827361;0;0,8;0,093882736;92855,83227
978;24;1;3;0,04;1;2;47;2;2;1;2;3,850147602;0,008219178;0;1;1_Entrenamiento;1;0,504008922;0;0,823249064;0;0,64028777;0,082324906;91900,91779
943;4;1;3;0,02;1;4;42;2;3;1;2;3,737669618;0,032876712;1;0;1_Entrenamiento;0;0,781565744;0;0,675372955;0;0,610169492;0,067537295;90679,15695
45;11;1;1;0,04;0;2;35;2;2;0;1;3,555348061;0,008219178;0;0;2_Comprobación;0;0,866978934;0;0,854097703;0;0,822033898;0,08540977;92155,79101
590;12;1;3;0,04;0;4;58;2;4;1;1;4,060443011;0,021917808;1;0;2_Comprobación;0;0,892111372;0;0,88565263;0;0,822033898;0,088565263;92416,49961
268;14;1;3;0,01;1;3;45;2;1;0;1;3,80666249;0,008219178;1;1;2_Comprobación;1;0,61941943;0;0,52850129;1;0,5;0,052850129;89465,69488
639;42;1;3;0,03;1;3;26;2;2;0;2;3,258096538;0,032876712;1;1;2_Comprobación;1;0,917533287;1;1;1;1;0,1;93361,2441
71;7;1;3;0,04;1;3;46;3;2;1;1;3,828641396;0,032876712;1;0;2_Comprobación;0;0,870887475;0;0,638578711;0;0,822033898;0,063857871;90375,16081
588;18;1;2;0,04;0;4;47;2;1;1;1;3,850147602;0,021917808;1;0;1_Entrenamiento;0;0,813015544;0;0,773130239;0;0,64028777;0,077313024;91486,8332
93;24;0;3;0,04;1;1;20;3;2;0;1;2,995732274;0,008219178;0;1;1_Entrenamiento;1;0,621324242;0;0,590404789;0;0,64028777;0,059040479;89977,14512
400;18;1;1;0,03;0;4;39;2;1;0;1;3,663561646;0,016438356;1;0;1_Entrenamiento;0;0,715475898;1;0,583236844;1;0,666666667;0,058323684;89917,92315
458;6;1;1;0,04;0;4;27;2;1;0;1;3,295836866;0,032876712;1;0;2_Comprobación;0;0,938805827;0;0,887661361;0;0,822033898;0,088766136;92433,09586
42;18;1;2;0,02;1;4;44;2;1;1;2;3,784189634;0,016438356;1;1;1_Entrenamiento;1;0,540364477;1;0,671006045;1;0,714285714;0,067100604;90643,07729
865;15;0;2;0,02;0;2;20;3;1;0;1;2,995732274;0,008219178;0;0;1_Entrenamiento;0;0,568045132;0;0,664841381;0;0,610169492;0,066484138;90592,14448
14;15;1;2;0,02;0;2;28;3;1;0;1;3,33220451;0,008219178;0;0;1_Entrenamiento;0;0,568045132;0;0,664841381;0;0,610169492;0,066484138;90592,14448
41;12;1;2;0,03;1;2;26;2;1;0;1;3,258096538;0,065753425;0;0;2_Comprobación;0;0,617693701;0;0,685336296;0;0,8;0,06853363;90761,47464
640;18;1;1;0,04;0;4;27;2;1;1;1;3,295836866;0,032876712;1;0;1_Entrenamiento;0;0,806529402;0;0,80839975;0;0,64028777;0,080839975;91778,23191
213;30;0;3;0,04;1;4;66;2;1;0;1;4,189654742;0,016438356;1;1;1_Entrenamiento;1;0,564100077;0;0,61958313;0;0,64028777;0,061958313;90218,21824
341;21;0;3;0,01;0;2;26;3;1;1;1;3,258096538;0,008219178;0;0;1_Entrenamiento;1;0,725588348;0;0,64567713;1;0,636363636;0,064567713;90433,80835
309;9;1;2;0,04;0;4;22;3;1;1;1;3,091042453;0,008219178;1;0;1_Entrenamiento;0;0,923190857;0;0,925438204;0;0,822033898;0,09254382;92745,2103
483;15;0;3;0,03;0;3;30;2;2;0;1;3,401197382;0,016438356;1;0;1_Entrenamiento;0;0,736294022;0;0,878594816;0;0,8;0,087859482;92358,18755
103;9;0;3;0,04;1;2;35;3;1;0;1;3,555348061;0,021917808;0;1;2_Comprobación;0;0,825728534;0;0,693719013;0;0,822033898;0,069371901;90830,73313
414;24;1;2;0,04;0;3;35;2;1;0;1;3,555348061;0,016438356;1;0;1_Entrenamiento;0;0,656718064;0;0,786183482;0;0,64028777;0,078618348;91594,67984
33;12;0;3;0,04;1;1;57;3;1;1;1;4,043051268;0,008219178;0;1;2_Comprobación;0;0,684159218;0;0,680113931;0;0,822033898;0,068011393;90718,32716
300;6;1;1;0,01;0;4;54;2;1;1;1;3,988984047;0,016438356;1;0;1_Entrenamiento;0;0,734609921;0;0,626421509;1;0,5;0,062642151;90274,71731
971;24;1;2;0,01;1;3;43;2;1;1;2;3,761200116;0,008219178;1;1;1_Entrenamiento;1;0,82860476;1;0,755849945;1;0,636363636;0,075584995;91344,06243
593;24;1;2;0,03;0;3;20;3;1;1;1;2,995732274;0,016438356;1;1;2_Comprobación;0;0,511307134;1;0,623548684;1;0,666666667;0,062354868;90250,98187
811;6;1;3;0,03;0;4;28;2;1;1;1;3,33220451;0,010958904;1;0;1_Entrenamiento;0;0,901260574;0;0,914881094;0;0,8;0,091488109;92657,98684
353;12;1;2;0,04;1;3;28;3;2;0;1;3,33220451;0,032876712;1;1;2_Comprobación;0;0,800687669;0;0,769404325;0;0,822033898;0,076940433;91456,04949
791;24;1;3;0,03;1;2;41;2;1;0;2;3,713572067;0,016438356;0;1;1_Entrenamiento;1;0,649369343;1;0,793064143;1;0,666666667;0,079306414;91651,52825
972;24;1;1;0,01;0;1;29;3;2;1;1;3,36729583;0,008219178;0;0;1_Entrenamiento;1;0,85696184;1;0,801594914;1;0,636363636;0,080159491;91722,00997
395;39;1;3;0,02;1;1;32;3;1;0;1;3,465735903;0,021917808;0;1;1_Entrenamiento;1;0,965338302;1;0,932457213;1;0,875;0,093245721;92803,20174
307;12;1;1;0,04;0;1;33;2;1;1;1;3,496507561;0,021917808;0;0;1_Entrenamiento;0;0,768665027;0;0,539835422;0;0,822033898;0,053983542;89559,33813
651;12;0;2;0,04;1;3;37;2;1;1;1;3,610917913;0,016438356;1;1;1_Entrenamiento;0;0,807889474;0;0,587981336;0;0,822033898;0,058798134;89957,12241
143;18;0;2;0,02;1;2;22;2;1;0;1;3,091042453;0,016438356;0;0;1_Entrenamiento;1;0,636350631;1;0,827303912;1;0,714285714;0,082730391;91934,41917
935;30;1;1;0,04;1;1;30;2;2;0;1;3,401197382;0,010958904;0;1;1_Entrenamiento;1;0,759230799;0;0,590404789;0;0,64028777;0,059040479;89977,14512
405;24;1;1;0,01;0;3;22;2;1;0;1;3,091042453;0,065753425;1;1;1_Entrenamiento;1;0,785660968;0;0,567234827;1;0,636363636;0,056723483;89785,71357
937;6;1;1;0,04;0;2;30;3;1;0;1;3,401197382;0,021917808;0;1;1_Entrenamiento;0;0,913529214;0;0,734069175;0;0,822033898;0,073406918;91164,10847
512;15;0;3;0,02;1;3;26;3;1;0;1;3,258096538;0,016438356;1;1;2_Comprobación;1;0,509932909;1;0,547255476;0;0,610169492;0,054725548;89620,64304
384;30;0;2;0,02;1;3;26;2;2;1;1;3,258096538;0,016438356;1;1;1_Entrenamiento;1;0,840782545;1;0,876347774;1;0,714285714;0,087634777;92339,62236
905;12;1;2;0,02;1;4;20;3;1;0;2;2,995732274;0,032876712;1;0;1_Entrenamiento;0;0,607114739;0;0,631580355;0;0,610169492;0,063158036;90317,34
546;24;1;2;0,04;0;2;37;2;1;0;1;3,610917913;0,016438356;0;1;2_Comprobación;0;0,610701854;0;0,530977351;0;0,64028777;0,053097735;89486,15224
107;12;1;3;0,02;1;2;32;2;1;0;1;3,465735903;0,016438356;0;1;1_Entrenamiento;0;0,520789803;1;0,565766677;0;0,610169492;0,056576668;89773,58363
919;24;0;3;0,04;1;3;39;3;1;0;1;3,663561646;0,032876712;1;0;1_Entrenamiento;0;0,526241941;0;0,594822615;0;0,64028777;0,059482262;90013,64545
603;36;0;2;0,04;0;2;28;2;1;0;1;3,33220451;0,032876712;0;1;2_Comprobación;1;0,710627802;1;0,782107808;1;0,805555556;0,078210781;91561,00639
471;6;1;1;0,04;0;3;23;2;1;0;1;3,135494216;0,008219178;1;0;1_Entrenamiento;0;0,931412087;0;0,946587862;0;0,822033898;0,094658786;92919,94997
199;18;0;3;0,04;1;1;40;2;1;0;1;3,688879454;0,021917808;0;1;2_Comprobación;0;0,523721328;1;0,595344067;0;0,64028777;0,059534407;90017,95371
285;47;1;1;0,01;0;4;35;2;1;1;1;3,555348061;0,065753425;1;1;1_Entrenamiento;1;0,972444086;1;1;1;1;0,1;93361,2441
793;24;0;3;0,03;1;1;51;1;1;0;1;3,931825633;0,008219178;0;1;1_Entrenamiento;1;0,746726843;1;0,711795744;1;0,666666667;0,071179574;90980,08411
726;15;1;2;0,02;0;3;47;2;2;1;1;3,850147602;0,016438356;1;0;1_Entrenamiento;0;0,604279405;0;0,623392099;0;0,610169492;0,06233921;90249,68815
244;12;1;2;0,04;0;4;35;2;1;1;2;3,555348061;0,010958904;1;1;1_Entrenamiento;0;0,896097982;0;0,925438204;0;0,822033898;0,09254382;92745,2103
376;18;1;1;0,02;0;4;34;2;2;0;1;3,526360525;0,010958904;1;1;2_Comprobación;0;0,588344735;0;0,547982518;1;0,714285714;0,054798252;89626,6499
415;36;1;3;0,02;1;3;35;2;2;0;2;3,555348061;0,032876712;1;1;1_Entrenamiento;1;0,913139515;1;0,918799153;1;0,875;0,091879915;92690,35807
97;18;0;2;0,04;1;2;34;2;1;0;1;3,526360525;0,008219178;0;1;2_Comprobación;0;0,655688509;0;0,66329366;0;0,64028777;0,066329366;90579,35712
298;18;0;2;0,03;1;4;43;2;1;0;1;3,761200116;0,016438356;1;1;1_Entrenamiento;0;0,608653655;1;0,686106981;1;0,666666667;0,068610698;90767,84209
607;36;1;2;0,04;0;1;50;1;1;0;1;3,912023005;0,008219178;0;1;2_Comprobación;1;0,785874158;1;0,813339366;1;0,805555556;0,081333937;91819,0433
363;6;0;2;0,01;0;3;21;3;1;0;1;3,044522438;0,016438356;1;0;2_Comprobación;0;0,693987646;0;0,644029322;1;0,5;0,064402932;90420,19407
743;24;0;2;0,04;1;4;22;2;1;0;1;3,091042453;0,016438356;1;0;2_Comprobación;0;0,59506589;0;0,61958313;0;0,64028777;0,061958313;90218,21824
959;24;0;3;0,04;1;1;30;1;1;0;1;3,401197382;0,008219178;0;1;1_Entrenamiento;1;0,621324242;0;0,590404789;0;0,64028777;0,059040479;89977,14512
2;12;1;3;0,02;1;4;49;2;1;1;2;3,891820298;0,010958904;1;1;1_Entrenamiento;0;0,622931972;0;0,729200338;0;0,610169492;0,072920034;91123,88186
694;24;1;3;0,04;1;2;28;2;1;0;1;3,33220451;0,032876712;0;1;2_Comprobación;1;0,523326812;0;0,559378472;0;0,64028777;0,055937847;89720,80392
68;36;1;2;0,04;1;1;37;1;1;0;1;3,610917913;0,016438356;0;0;2_Comprobación;1;0,859638263;1;0,890955412;1;0,805555556;0,089095541;92460,3115
351;9;0;2;0,01;0;2;29;2;1;0;1;3,36729583;0;0;0;1_Entrenamiento;0;0,589565839;0;0,558954457;1;0,5;0,055895446;89717,30068
125;12;1;2;0,04;1;3;30;2;2;0;1;3,401197382;0,016438356;1;0;1_Entrenamiento;0;0,81057685;0;0,709421498;0;0,822033898;0,07094215;90960,46795
987;13;1;1;0,02;0;4;64;2;1;0;1;4,158883083;0,008219178;1;0;1_Entrenamiento;0;0,711625798;0;0,806007772;0;0,610169492;0,080600777;91758,46926
168;24;0;3;0,02;0;3;25;3;1;0;1;3,218875825;0,016438356;1;1;1_Entrenamiento;1;0,627945612;1;0,54756378;1;0,714285714;0,054756378;89623,19026
480;12;1;2;0,01;0;4;23;2;1;1;1;3,135494216;0,032876712;1;1;2_Comprobación;0;0,577423928;0;0,674908281;1;0,5;0,067490828;90675,31779
885;12;1;1;0,04;0;3;53;2;1;0;1;3,970291914;0,008219178;1;0;1_Entrenamiento;0;0,877161292;0;0,946587862;0;0,822033898;0,094658786;92919,94997
712;21;1;3;0,04;1;4;46;2;1;0;1;3,828641396;0,016438356;1;1;1_Entrenamiento;0;0,669589975;0;0,61958313;0;0,64028777;0,061958313;90218,21824
615;48;0;2;0,02;1;2;48;2;1;0;1;3,871201011;0,032876712;0;1;2_Comprobación;1;0,978887643;1;1;1;1;0,1;93361,2441
