row_id;duration_in_month;purpose;present_emp_since;installment_as_income_perc;personal_status_sex;property;age;housing;credits_this_bank;job;people_under_maintenance;norm_age;migration_risk;real_state;score_default_dummy;score_default_logistic;$LP-score_default_dummy;score_default_TAN;$BP-score_default_dummy;score_default_markow;$BP1-score_default_dummy;punishment_value;client_price
3;42;0;3;0,02;1;3;45;1;1;0;2;3,80666249;0,008219178;1;0;1;0,94787633;1;0,879401552;1;0,875;0,094787633;92930,59537
5;36;1;2;0,02;1;1;35;1;1;1;2;3,555348061;0,016438356;0;1;1;0,95265598;1;0,945190252;1;0,875;0,095265598;92970,08511
17;30;0;1;0,02;1;2;25;2;3;0;1;3,218875825;0,010958904;0;1;1;0,861049969;1;0,693152135;1;0,714285714;0,086104997;92213,23102
26;6;1;3;0,04;0;2;39;2;1;1;1;3,663561646;0,008219178;0;0;0;0,916271845;0;0,932618072;0;0,822033898;0,091627184;92669,47731
28;7;1;2;0,03;1;4;34;2;1;0;1;3,526360525;0,016438356;1;0;0;0,834803705;0;0,762221478;0;0,8;0,083480371;91996,3829
49;12;1;2;0,04;0;4;28;2;1;0;1;3,33220451;0,016438356;1;0;0;0,895757968;0;0,852544348;0;0,822033898;0,089575797;92499,99049
55;6;1;2;0,01;1;4;26;2;1;1;2;3,258096538;0,016438356;1;0;0;0,631269161;0;0,517739868;1;0,5;0,063126916;90314,76889
70;36;1;2;0,01;0;3;30;2;1;0;1;3,401197382;0,016438356;1;1;1;0,916445629;0;0,508108501;1;0,6;0,091644563;92670,91312
87;36;1;2;0,01;1;1;47;1;1;0;2;3,850147602;0,016438356;0;1;1;0,972627521;1;0,747366703;1;0,6;0,097262752;93135,09112
89;12;1;3;0,04;1;4;28;2;2;0;1;3,33220451;0,010958904;1;0;0;0,84442609;0;0,887007604;0;0,822033898;0,084442609;92075,88359
95;54;0;1;0,03;1;1;58;3;1;0;1;4,060443011;0,016438356;0;1;1;0,986960505;1;0,822819159;1;0,8;0,09869605;93253,51105
101;36;1;3;0,04;1;2;24;3;1;0;1;3,17805383;0,008219178;0;0;1;0,783157275;1;0,738160298;1;0,805555556;0,078315728;91569,67715
105;24;1;2;0,02;1;2;39;2;2;0;2;3,663561646;0,021917808;0;1;1;0,772658052;1;0,827303912;1;0,714285714;0,077265805;91482,93197
120;21;1;2;0,03;0;4;25;2;2;0;1;3,218875825;0,032876712;1;0;0;0,63124967;1;0,505924867;1;0,666666667;0,063124967;90314,60785
138;15;1;3;0,04;1;4;35;2;3;0;1;3,555348061;0,032876712;1;0;0;0,783458017;0;0,834955924;0;0,822033898;0,078345802;91572,16189
140;6;1;1;0,02;0;4;27;2;1;1;1;3,295836866;0;1;0;0;0,84122378;0;0,807908236;0;0,610169492;0,084122378;92049,42592
156;9;1;3;0,03;1;4;48;2;2;0;2;3,871201011;0;1;0;0;0,812901008;0;0,871763153;0;0,8;0,081290101;91815,42156
170;15;1;3;0,04;1;2;33;3;2;0;2;3,496507561;0,010958904;0;0;0;0,722118602;0;0,827684565;0;0,822033898;0,07221186;91065,37215
190;24;0;2;0,02;1;3;54;2;3;0;1;3,988984047;0,021917808;1;0;1;0,735934121;1;0,805548479;1;0,714285714;0,073593412;91179,51675
203;12;1;3;0,04;0;3;21;3;1;0;1;3,044522438;0,008219178;1;0;0;0,877161292;0;0,946587862;0;0,822033898;0,087716129;92346,34369
