row_id;account_check_status;duration_in_month;credit_history;purpose;credit_amount;savings;present_emp_since;installment_as_income_perc;personal_status_sex;other_debtors;present_res_since;property;age;other_installment_plans;housing;credits_this_bank;job;people_under_maintenance;telephone;foreign_worker;default;K-mean;Partición;predictive_TAN;$BP-default;predictive_Markow;score_default;predictive_Logistic;$LP-default;default_predictive;insurance_price
320;3;30;1;1;4249;2;1;0,04;0;0;60,83333333;2;28;0;2;2;0;1;0;1;2;1;1_Entrenamiento;0;0,703184793;0;0,8;0;0,693835223;0,08;3,33
320;3;30;1;1;4249;2;1;0,04;0;0;60,83333333;2;28;0;2;2;0;1;0;1;2;1;1_Entrenamiento;0;0,703184793;0;0,8;0;0,693835223;0,08;3,33
211;2;36;0;1;3835;1;3;0,02;0;0;121,6666667;4;45;0;2;1;1;1;1;1;1;5;1_Entrenamiento;1;0,97011698;1;1;1;0,898284376;0,1;3,39
23;3;12;1;1;1804;3;1;0,03;1;0;121,6666667;3;44;0;2;1;0;1;0;1;1;3;2_Comprobación;0;0,623818699;1;1;1;0,716527214;0,1;3,39
439;3;12;0;0;609;2;1;0,04;0;0;30,41666667;4;26;0;2;1;1;1;0;1;2;5;1_Entrenamiento;1;0,539980659;0;0,551724138;0;0,562432253;0,055172414;3,255517241
439;3;12;0;0;609;2;1;0,04;0;0;30,41666667;4;26;0;2;1;1;1;0;1;2;5;1_Entrenamiento;1;0,539980659;0;0,551724138;0;0,562432253;0,055172414;3,255517241
237;3;21;0;0;2767;3;3;0,04;1;0;60,83333333;2;61;1;3;2;1;1;0;1;2;2;1_Entrenamiento;0;0,748509069;0;0,5;0;0,58470657;0,05;3,24
237;3;21;0;0;2767;3;3;0,04;1;0;60,83333333;2;61;1;3;2;1;1;0;1;2;2;1_Entrenamiento;0;0,748509069;0;0,5;0;0,58470657;0,05;3,24
549;2;48;1;1;8858;1;3;0,02;1;0;30,41666667;1;35;0;1;2;0;1;1;1;1;3;1_Entrenamiento;1;0,990655242;1;1;1;0,820843693;0,1;3,39
287;3;48;1;1;7582;3;1;0,02;1;0;121,6666667;1;31;0;1;1;0;1;1;1;1;3;1_Entrenamiento;0;0,629215612;1;1;0;0,64750631;0,1;3,39
714;3;60;0;1;14027;2;3;0,04;1;0;60,83333333;1;27;0;2;1;0;1;1;1;2;2;1_Entrenamiento;0;0,915237894;0;1;0;0,931804609;0,1;3,39
